type,schedule_id,po_number,item_code,needed_qty,po_line_id,reason,increment_qty,remaining_qty
schedule,153,PO-MRP002283,SR38,,,no_po_line,,
schedule,156,PO-MRP002283,SR60,,,no_po_line,,
schedule,168,PO-MRP002299,BR40,,,no_po_line,,
schedule,169,PO-MRP002299,BR50,,,no_po_line,,
schedule,170,PO-MRP002299,BR60,,,no_po_line,,
schedule,171,PO-MRP002299,BR70,,,no_po_line,,
schedule,178,PO-MRP002186,B61,,,no_po_line,,
schedule,181,PO-MRP002186,B73,,,no_po_line,,
schedule,183,PO-MRP002186,C13,,,no_po_line,,
schedule,190,PO-MRP002186,VT8,,,no_po_line,,
schedule,194,PO-MRP002186,M69,,,no_po_line,,
schedule,197,PO-MRP002186,VT1,,,no_po_line,,
schedule,571,IST2601-140113-2MR,DF4,,,no_po_line,,
schedule,572,IST3201-140113-2BT,D09,,,no_po_line,,
schedule,573,IST2601-140113-2MR,B46,,,no_po_line,,
schedule,574,IST2601-140113-2MR,DZ0,,,no_po_line,,
schedule,575,IST2701-140113-2MR,TB76,,,no_po_line,,
schedule,576,IST2701-140113-2MR,PB8,,,no_po_line,,
schedule,577,IST2701-140113-2MR,STKM-13AC 25.4 x 1.40 x 456.6,,,no_po_line,,
schedule,578,IST2701-140113-2MR,SP4,,,no_po_line,,
schedule,579,IST2601-140113-2MR,R40,,,no_po_line,,
schedule,580,IST3201-140113-2BT,R25,,,no_po_line,,
schedule,581,IST2701-140113-2MR,STKM-13AC 19.1 X 1.6 X 438.0,,,no_po_line,,
schedule,582,IST2701-140113-2MR,STKM-13AC 19.1 X 2.3 X 996.0,,,no_po_line,,
schedule,583,IST2701-140113-2MR,STKM-11AC 22.2 X 1.2 X 1225.0,,,no_po_line,,
schedule,584,IST2701-140114-2MR,BK2,,,no_po_line,,
schedule,585,IST2701-140114-2MR,BK8,,,no_po_line,,
schedule,586,IST2701-140114-2MR,BK10,,,no_po_line,,
schedule,587,IST2701-140114-2MR,BK4,,,no_po_line,,
schedule,588,IST2701-140114-2MR,BK5,,,no_po_line,,
schedule,589,IST2601-140113-2MR,DY17,,,no_po_line,,
schedule,590,IST2601-140113-2MR,C87,,,no_po_line,,
schedule,591,IST2601-140113-2MR,B57,,,no_po_line,,
schedule,592,IST3201-140113-2BT,C72,,,no_po_line,,
schedule,593,IST3201-140113-2BT,STKM-470 Ø14 X 1.35 X 776,,,no_po_line,,
schedule,594,IST2601-140113-2MR,B69,,,no_po_line,,
schedule,595,IST2601-140113-2MR,VT3,,,no_po_line,,
schedule,596,IST2701-140113-2MR,STKM-11AC 12.0 x 0.8 x 900.0,,,no_po_line,,
schedule,597,IST3201-140113-2BT,B16,,,no_po_line,,
schedule,598,IST2901-140113-2MR,VG99,,,no_po_line,,
schedule,599,IST2701-140113-2MR,SP5,,,no_po_line,,
schedule,600,IST2701-140113-2MR,FP9,,,no_po_line,,
schedule,601,IST3201-140113-2BT,FP6,,,no_po_line,,
schedule,602,IST2601-140113-2MR,AJ7,,,no_po_line,,
schedule,603,IST2601-140113-2MR,AJ8,,,no_po_line,,
schedule,604,IST2701-140114-2MR,BK3,,,no_po_line,,
schedule,605,IST2701-140114-2MR,BK1,,,no_po_line,,
schedule,606,IST2701-140114-2MR,BK0,,,no_po_line,,
schedule,607,IST2601-140113-2MR,STKM 470 12.0 X 2.0 X 597,,,no_po_line,,
schedule,608,IST2901-140113-2MR,VD43,,,no_po_line,,
schedule,609,IST2901-140100-2MR,VD03,,,no_po_line,,
schedule,610,IST2901-140100-2MR,VD43,,,no_po_line,,
schedule,611,IST2901-140100-2MR,VG99,,,no_po_line,,
schedule,666,IST2901-140110-2MR,VD64,,,no_po_line,,
schedule,667,IST2901-140110-2MR,VE87,,,no_po_line,,
schedule,160,PO-MRP002283,SR23,,,no_po_line,,
schedule,167,PO-MRP002284,SR20,,,no_po_line,,
schedule,612,IST2701-150115-2MR,9O9,,,no_po_line,,
schedule,613,IST3201-150115-2BT,STKM-600 Ø12 X 2.00 X 103,,,no_po_line,,
schedule,614,IST2601-150115-2MR,DF4,,,no_po_line,,
schedule,615,IST2601-150115-2MR,DF3,,,no_po_line,,
schedule,616,IST2901-150115-2MR,VG99,,,no_po_line,,
schedule,617,IST2601-150116-2MR,B46,,,no_po_line,,
schedule,618,IST2601-150115-2MR,DZ0,,,no_po_line,,
schedule,619,IST2701-150115-2MR,TB76,,,no_po_line,,
